Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
GANS ENERGY LLC,1,GANS ENERGY LLC/GANS POWER STA,93145.403,AEP - Air Emission Plant,39.747518,-79.838772
WEST SALISBURY FOUNDRY & MACH CO INC,1,WEST SALISBURY FOUND/WEST SALISBURY PLT,66.7813,AEP - Air Emission Plant,39.754017,-79.096074
CUMBERLAND CONTURA LLC,1,CUMBERLAND CONTURA LLC/CUMBERLAND MINE,801.353,AEP - Air Emission Plant,39.794726,-80.162555
CARLISLE SYNTEC DIV CARLISLE CONST MATERIALS LLC,1,CARLISLE CONST MATLS/HUNTER PANEL PLT,1196.3,AEP - Air Emission Plant,39.804167,-79.779167
EQT PROD CO,1,EQT PROD CO / PLHC WELLPAD,262.7518,AEP - Air Emission Plant,39.836389,-80.277411
RICE DRILLING B LLC,1,RICE DRILLING B LLC / THROCKMORTON WELLPAD,859.7156,AEP - Air Emission Plant,39.838105,-80.220603
DYNEGY FAYETTE II LLC,1,FAYETTE ENERGY CENTER/MASONTOWN,1954311.21,AEP - Air Emission Plant,39.857408,-79.913878
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/NORTH SUMMIT,6466.343,AEP - Air Emission Plant,39.859276,-79.6526
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/HOLBROOK STA,254.7303,AEP - Air Emission Plant,39.89016,-80.452156
ADVANCED DSPL SVC CHESTNUT VALLEY LDFL INC,1,ADVANCED DISPOSAL SVC CHESTNUT VALLEY LDFL INC/GERMAN TWP,20354.08,AEP - Air Emission Plant,39.896068,-79.801062
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/CRAYNE STA,40331.9504,AEP - Air Emission Plant,39.918889,-80.123889
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/WAYNESBURG STA,22502.9411,AEP - Air Emission Plant,39.919508,-80.124998
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/UNIONTOWN STA,28337.9451,AEP - Air Emission Plant,39.93111,-79.67
MOSTOLLER LDFL INC,1,MOSTOLLER LDFL INC/MOSTOLLER MUNICIPAL WASTE LDFL,11545.67,AEP - Air Emission Plant,39.971994,-78.989958
CONSOL PA COAL CO LLC,1,CONSOL PA COAL CO LLC/BAILEY PREP PLT,518.47,AEP - Air Emission Plant,39.972856,-80.41215
CROWN CORK & SEAL CO USA INC,1,CROWN CORK & SEAL CO/SOUTH CONNELLSVILLE,5367.002,AEP - Air Emission Plant,39.983639,-79.577717
FAYETTE THERMAL LLC,1,FAYETTE THERMAL/E MILLSBORO STEAM PLT,19440.4394,AEP - Air Emission Plant,39.992222,-79.988056
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO/CREIGHTON COMP STA,6056.3723,AEP - Air Emission Plant,40.000278,-79.999722
PA DEPT OF CORR,1,PA DEPT OF CORR/LAUREL HIGHLANDS SCI,27307.5594,AEP - Air Emission Plant,40.005894,-79.040712
MATTHEWS INTL CORP,1,MATTHEWS INTL BRONZE DIV/PGH,1074.1117,AEP - Air Emission Plant,40.05,-80.033333
PVS STEEL SVC INC,1,PVS STEEL SVC INC/ALLENPORT PLT,11430.7287,AEP - Air Emission Plant,40.079697,-79.87408
RICE DRILLING B LLC,1,RICE DRILLING/ MOJO PAD/ CONSTRUCTION MODIFICATON NOV,3157.4689,AEP - Air Emission Plant,40.088036,-80.212354
DURALOY TECH INC,1,DURALOY TECHNOLOGIES/SCOTTDALE,4462.093,AEP - Air Emission Plant,40.099066,-79.586344
SUMMERILL HIGH PRECISION TUBE LLC,1,SUMMERILL HIGH PRECISION TUBE LLC/SCOTTDALE PLT,532.1,AEP - Air Emission Plant,40.107236,-79.584063
SHADE LDFL INC,1,SHADE LDFL INC/SHADE LDFL,9272.2711,AEP - Air Emission Plant,40.121492,-78.800715
GREENRIDGE RECLAMATION LLC,1,GREENRIDGE RECLAMATION LLC/E HUNTINGDON,38736.32,AEP - Air Emission Plant,40.129722,-79.5825
CK COMPOSITES CO LLC,1,CK COMPOSITES CO LLC/MT PLEASANT,755.71,AEP - Air Emission Plant,40.129948,-79.534064
CORELLE BRANDS LLC,1,CORELLE BRANDS LLC/CHARLEROI PLT,29314.1975,AEP - Air Emission Plant,40.138376,-79.895649
WESTMORELAND SANI LDFL LLC,1,WESTMORELAND SANITARY LDFL LLC,26586.676,AEP - Air Emission Plant,40.143493,-79.856592
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO LLC/GIBSON STA,377.1908,AEP - Air Emission Plant,40.144232,-79.963876
ARCELORMITTAL MONESSEN LLC,1,ARCELORMITTAL MONESSEN LLC/MONESSEN COKE PLT,142744.6,AEP - Air Emission Plant,40.161411,-79.883417
JESSOP STEEL LLC,1,JESSOP STEEL LLC/WASHINGTON PLT,39525.3545,AEP - Air Emission Plant,40.173083,-80.274426
TENASKA PA PARTNERS LLC,1,TENASKA PA PARTNERS/WESTMORELAND GEN FAC,232121.2259,AEP - Air Emission Plant,40.176389,-79.693889
FLEXSYS AMER LP,1,FLEXSYS AMER LTD PAR/MONONGAHELA,13320.509,AEP - Air Emission Plant,40.180821,-79.925499
DNP IMAGINGCOMM AMER CORP,1,DNP IMS AMER/SONY TECH CTR NEW STANTON,0.0003,AEP - Air Emission Plant,40.186761,-79.57454
DYNO NOBEL INC,1,DYNO NOBEL INC/DONORA,454.159,AEP - Air Emission Plant,40.186992,-79.854923
NORTH AMER HOGANAS INC,1,NORTH AMERICAN HOGANAS INC/STONY CREEK PLT,33572.9,AEP - Air Emission Plant,40.191976,-78.934697
"THERM O ROCK EAST, INC",1,THERM O ROCK INC/NEW EAGLE PLT,1974.3175,AEP - Air Emission Plant,40.206474,-79.942484
ARDEN LDFL INC,1,ARDEN LDFL/CHARTIERS TWP,62282.278,AEP - Air Emission Plant,40.208429,-80.264767
POWEREX INC,1,POWEREX INC/YOUNGWOOD,41.4856,AEP - Air Emission Plant,40.233967,-79.567086
SOUTHERN ALLEGHENIES LDFL INC,1,SOUTHERN ALLEGHENY L/SOUTHERN ALLEGHENIES LDFL,17904.35,AEP - Air Emission Plant,40.236386,-78.900002
BRIDGESTONE AMER INC,1,FIRESTONE BLDG PROD CO/YOUNGWOOD PLT,1278.7824,AEP - Air Emission Plant,40.243047,-79.572772
KELLY RUN SANI INC,1,KELLY RUN SANI/MSW LDFL,24623.25,AEP - Air Emission Plant,40.253333,-79.871389
EQUITRANS LP,1,EQUITRANS LP/HARTSON,10388.7609,AEP - Air Emission Plant,40.255636,-79.961087
EASTMAN CHEM CO,1,EASTMAN CHEM RESINS INC/JEFFERSON SITE,32618.5336,AEP - Air Emission Plant,40.266316,-79.90245
GREENSBURG THERMAL LLC,1,GREENSBURG THERMAL LLC/GREENSBURG THERMAL LLC,224.4908,AEP - Air Emission Plant,40.269772,-79.562847
USA SOUTH HILLS LDFL INC,1,USA SOUTH HILLS LDFL/ UNION TWP,24668.34,AEP - Air Emission Plant,40.269951,-79.98854
ST VINCENT COLL,1,ST VINCENT COLL/LATROBE CAMPUS,3601.3351,AEP - Air Emission Plant,40.29479,-79.396387
DLP CONEMAUGH MEM MED CTR LLC DBA CONEMAUGH MEM MED CTR,1,CONEMAUGH MEM MED CTR/JOHNSTOWN,11568.9864,AEP - Air Emission Plant,40.296729,-78.918687
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/LINCOLN HEIGHTS,755.88,AEP - Air Emission Plant,40.300369,-79.619336
LATROBE SPECIALTY METALS A CARPENTER CO,1,LATROBE SPECIALTY METALS/ A CARPENTER CO,84585.4822,AEP - Air Emission Plant,40.303618,-79.370528
US STEEL DIV OF USS CORP,1,USS/CLAIRTON WORKS,823022.6662,AEP - Air Emission Plant,40.305088,-79.876911
KOPPERS INC,1,KOPPERS INC/CLAIRTON PLT,954.2372,AEP - Air Emission Plant,40.306794,-79.882844
GUTCHESS HARDWOODS INC,1,GUTCHESS HARDWOODS INC/LATROBE PLT,12.17,AEP - Air Emission Plant,40.307382,-79.394913
LEHIGH SPECIALTY MELTING INC,1,LEHIGH SPECIALTY MELTING/LATROBE,6679.9555,AEP - Air Emission Plant,40.307632,-79.380551
SETON HILL UNIV,1,SETON HILL UNIVERSITY/GREENSBURG CAMPUS,2737.9758,AEP - Air Emission Plant,40.310436,-79.55841
OPCO INC,1,OPCO INC/LATROBE,561.3398,AEP - Air Emission Plant,40.311389,-79.378333
CBC LATROBE ACQUISITION LLC,1,CBC LATROBE ACQUISITION LLC/LATROBE,7946.9707,AEP - Air Emission Plant,40.320809,-79.38871
TECH MET INC,1,TECH MET INC/GLASSPORT,351.1939,AEP - Air Emission Plant,40.320972,-79.892389
OMNOVA SOLUTIONS INC,1,OMNOVA SOLUTIONS INC/JEANNETTE PLT,3390.09,AEP - Air Emission Plant,40.323512,-79.618512
ATI FLAT ROLLED PROD HOLDINGS LLC,1,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC/LATROBE,17079.12,AEP - Air Emission Plant,40.326449,-79.373275
CHESTNUT RIDGE FOAM INC,1,CHESTNUT RIDGE FOAM/LATROBE PLT,2870.2975,AEP - Air Emission Plant,40.327682,-79.358532
US STEEL CORP,1,US STEEL CORP/IRVIN PLT,401988.5772,AEP - Air Emission Plant,40.333834,-79.90195
ELLIOTT CO INC,1,ELLIOTT CO/JEANNETTE,17325.6063,AEP - Air Emission Plant,40.336303,-79.610835
LIBERTY POLYGLAS INC,1,LIBERTY PULTRUSIONS/WEST MIFFLIN,0.3296,AEP - Air Emission Plant,40.339539,-79.898455
GABRIEL PERFORMANCE PROD LLC,1,GABRIEL PERFORMANCE PROD LLC/MANOR PRODUCTS,1725,AEP - Air Emission Plant,40.343056,-79.659167
JOHNSTOWN WIRE TECHS INC,1,JOHNSTOWN WIRE TECH/JOHNSTOWN WIRE PLT,22295.4982,AEP - Air Emission Plant,40.35172,-78.941016
SERVSTEEL INC,1,SERVSTEEL INC/MORGAN,2919.353,AEP - Air Emission Plant,40.358056,-80.125
LANGELOTH METALLURGICAL CO LLC,1,LANGELOTH METALLURGICAL CO LLC/LANGELOTH,8840.31,AEP - Air Emission Plant,40.363456,-80.400998
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/SOUTH OAKFORD STA,14209.08,AEP - Air Emission Plant,40.364891,-79.55874
UNIVERSAL STAINLESS & ALLOY PROD INC,1,UNIVERSAL STAINLESS & ALLOY PROD/BRIDGEVILLE,48643.6354,AEP - Air Emission Plant,40.365268,-80.097299
GAUTIER STEEL LTD,1,GAUTIER STEEL LTD/JOHNSTOWN PLT,10292.0095,AEP - Air Emission Plant,40.380562,-78.916697
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/DELMONT COMP STA,53238.1186,AEP - Air Emission Plant,40.383731,-79.548367
KEYSTONE CONEMAUGH PROJ LLC,1,CONEMAUGH STATION,11731059.68,AEP - Air Emission Plant,40.384722,-79.06
USA VALLEY FAC INC,1,USA VALLEY FAC INC/VALLEY LDFL,24726.0728,AEP - Air Emission Plant,40.38822,-79.67433
THE TECHS IND INC,1,GALVTECH/PGH,25905.5324,AEP - Air Emission Plant,40.389788,-79.931697
STARPRINT PUBLICATIONS INC,1,STARPRINT PUBLICATIONS INC/PORTAGE,667.1723,AEP - Air Emission Plant,40.391264,-78.665794
US STEEL CORP,1,USS CORP/EDGAR THOMSON WORKS,3303796.586,AEP - Air Emission Plant,40.393563,-79.857741
PA DHS TORRANCE STATE HOSP,1,PA DHS/TORRANCE STATE HOSP,8162.8524,AEP - Air Emission Plant,40.397839,-79.258562
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/OAKFORD COMPRESSOR STA,39462.9205,AEP - Air Emission Plant,40.402876,-79.559032
CHAMBERS DEV CO INC,1,CHAMBERS DEV CO INC/MONROEVILLE,44516.0777,AEP - Air Emission Plant,40.4075,-79.794444
SEWARD GENERATION LLC,1,SEWARD GENERATING STATION/SEWARD,2883102.62,AEP - Air Emission Plant,40.407933,-79.034165
UNION ELEC STEEL CORP,1,UNION ELEC STEEL CORP/HARMON CREEK,41463.6497,AEP - Air Emission Plant,40.409117,-80.407272
C & C SMITH LUMBER CO INC,1,C & C SMITH LUMBER CO/CROYLE WOOD PELLETS,6517.84,AEP - Air Emission Plant,40.417909,-78.760564
DURA BOND COATING INC,1,DURA BOND IND INC/EXPORT STEEL PLT,593.0223,AEP - Air Emission Plant,40.426411,-79.627489
SUNOCO PARTNERS MKT & TERM LP,1,SUNOCO PARTNERS M&T/DELMONT FACILITY,151.24,AEP - Air Emission Plant,40.42874,-79.574277
EQUITRANS LP,1,EQUITRANS LP/PENNVIEW,2229.4313,AEP - Air Emission Plant,40.428907,-79.138917
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/LILLY STA,120015.9833,AEP - Air Emission Plant,40.431361,-78.600511
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/ARMAGH STA,50863.2522,AEP - Air Emission Plant,40.432091,-79.083326
LINDY PAVING INC,1,LINDY PAVING INC/2ND AVE PLT,12188.1638,AEP - Air Emission Plant,40.435127,-79.972052
THE TECHS IND INC,1,METALTECH/PGH,17332.363,AEP - Air Emission Plant,40.435136,-79.969818
MAGEE WOMENS HOSP OF UPMC,1,UPMC MAGEE HOSP/MED SVC FOR WOMEN,10374.0662,AEP - Air Emission Plant,40.436111,-79.961389
DUQUESNE UNIV,1,DUQUESNE UNIVERSITY/PGH,68.3453,AEP - Air Emission Plant,40.436389,-79.993056
ENERGY CTR PGH LLC,1,ENERGY CTR PGH LLC/UPTOWN FAC,7734.8746,AEP - Air Emission Plant,40.439167,-79.986944
BELLEFIELD BOILER PLT,1,BELLEFIELD BOILER PLT/PGH,72099.6731,AEP - Air Emission Plant,40.441389,-79.949444
PPG IND CHEM TECH INFORMATION CTR,1,PPG IND/CHEM TECH CTR,3504.1941,AEP - Air Emission Plant,40.442122,-79.732379
UNIV OF PGH,1,UNIV OF PGH/PGH CAMPUS,68989.9386,AEP - Air Emission Plant,40.442778,-79.959444
PGH ALLEGHENY CNTY THERMAL LTD,1,PGH ALLEGHENY CNTY THERMAL LTD/PGH,40703.8845,AEP - Air Emission Plant,40.443302,-80.003668
REPUBLIC SVC,1,ALLIED WASTE SVC OF PA/MSW LDFL,107988.1,AEP - Air Emission Plant,40.4475,-80.274722
MAXT ASSOCIATES LP,1,RIVERS CASINO/PGH,2077.0243,AEP - Air Emission Plant,40.447778,-80.0225
MOORE WALLACE NORTH AMER INC,1,HOECHSTETTER PRINTING/COMMERCIAL LITHO PRINTING,0.009,AEP - Air Emission Plant,40.44825,-79.893731
ENERGY CTR PGH LLC,1,ENERGY CENTER PITTSBURGH LLC,40204.7966,AEP - Air Emission Plant,40.449792,-80.006471
PNC BANK NA,1,PNC BANK NATL ASSOC/PGH DATA CTR,30.9313,AEP - Air Emission Plant,40.451667,-80.189722
UPMC SHADYSIDE,1,UPMC SHADYSIDE/HOSP MED CTR,14273.0999,AEP - Air Emission Plant,40.4551,-79.9403
RIVERBEND FOODS LLC,1,RIVERBEND FOODS LLC/PGH,51542.9329,AEP - Air Emission Plant,40.455393,-79.990415
PEOPLES NATURAL GAS CO LLC,1,DOMINION PEOPLES/DICE COMP STA,2225.5975,AEP - Air Emission Plant,40.460556,-79.705
BROUDY PRINTING INC,1,BROUDY PRINTING INC/PGH,35.8053,AEP - Air Emission Plant,40.461865,-79.914158
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/JB TONKIN STA,11656.531,AEP - Air Emission Plant,40.463,-79.6402
LAUREL HIGHLANDS LDFL INC,1,LAUREL HIGHLANDS LAN/LAUREL HIGHLANDS LDFL,9165.849,AEP - Air Emission Plant,40.463621,-78.867429
PRESSURE CHEM CO,1,PRESSURE CHEM CO/PGH,813,AEP - Air Emission Plant,40.463887,-79.968356
EBENSBURG POWER CO,1,EBENSBURG POWER CO/EBENSBURG COGENERATION PLT,601293.119,AEP - Air Emission Plant,40.464469,-78.746045
GENON POWER MIDWEST LP,1,NRG POWER MIDWEST L.P../BRUNOT ISLE POWER PLT,24931.6353,AEP - Air Emission Plant,40.464722,-80.044722
CHILDRENS HOSP OF PGH,1,CHILDRENS HOSP OF PGH/LAWRENCEVILLE,17642.9264,AEP - Air Emission Plant,40.466497,-79.953045
TRINITY IND INC,1,STD FORGED PROD LLC/MCKEES ROCKS FORGINGS PLT 112,25469.3808,AEP - Air Emission Plant,40.477536,-80.059008
MCCONWAY & TORLEY LLC,1,MCCONWAY & TORLEY LLC/STEEL CASTINGS MFG,11768.6575,AEP - Air Emission Plant,40.478496,-79.960486
CAMBRIA COGEN I LLC,1,CAMBRIA COGEN EBENSBURG FAC,983919.41,AEP - Air Emission Plant,40.479454,-78.701897
EVERGREEN LDFL INC,1,EVERGREEN LANDFILL/FKA PELLEGRENE SITE,25636.0293,AEP - Air Emission Plant,40.486663,-79.137225
CALGON CARBON CORP,1,CALGON CARBON CORP/NEVILLE ISLAND PLT,1912.9318,AEP - Air Emission Plant,40.492029,-80.078444
LINDY PAVING INC,1,LINDY PAVING INC/NEVILLE ISLAND,12341.8204,AEP - Air Emission Plant,40.494157,-80.073618
ALLEGHENY CNTY AIRPORT AUTH,1,ALLEGHENY CNTY AIRPORT AUTH/PGH INTL AIRPORT,10475.1676,AEP - Air Emission Plant,40.498611,-80.255556
UNIVAR SOLUTIONS USA INC,1,"INEOS COMPOSITES US, LLC",15053.3669,AEP - Air Emission Plant,40.499237,-80.080953
NEVILLE CHEM CO,1,NEVILLE CHEM CO/PGH,16430.5947,AEP - Air Emission Plant,40.503449,-80.099378
US AIRWAYS,1,US AIRWAYS MAINTENANCE BASE/PGH,3120.0066,AEP - Air Emission Plant,40.503889,-80.234167
"FJ TURBINE POWER, INC",1,FJ TURBINE POWER INC,67.7069,AEP - Air Emission Plant,40.504167,-80.233333
,1,BUNTING GRAPHICS INC/VERONA,0.92,AEP - Air Emission Plant,40.50814,-79.845556
GOTTLIEB INC,1,GOTTLIEB INC/NEVILLE ISLAND,2277.6914,AEP - Air Emission Plant,40.511363,-80.131669
HOMER CITY GENERATION LP,1,HOMER CITY GEN LP/CENTER TWP,5890724.77,AEP - Air Emission Plant,40.513552,-79.196793
BUCKEYE PIPELINE CO LP,1,BUCKEYE PIPE LINE CO/CORAOPOLIS,1190.5766,AEP - Air Emission Plant,40.527059,-80.18045
PEOPLES NATURAL GAS CO LLC,1,PEOPLES GAS CO LLC/RUBRIGHT COMP STA,3260.3719,AEP - Air Emission Plant,40.527778,-79.556111
NEVILLE ISLAND TERM DE LLC,1,PGH TERM CORP/CORAOPOLIS TERM,125.2519,AEP - Air Emission Plant,40.528056,-80.181944
LEEDSWORLD INC,1,LEEDSWORLD/UPPER BURRELL,1131.308,AEP - Air Emission Plant,40.528333,-79.650556
GEORGIA FINANCIAL XIII LLC,1,GEORGIA FINANCIAL XIII LLC/AVONMORE PLT,6369.132,AEP - Air Emission Plant,40.531086,-79.46916
GENON POWER MIDWEST LP,1,NRG MIDWEST LP/CHESWICK,1421145.725,AEP - Air Emission Plant,40.536389,-79.792222
PPG IND INC,1,PPG IND INC/SPRINGDALE,12457.1943,AEP - Air Emission Plant,40.536826,-79.785659
ALLEGHENY ENERGY SUPPLY,1,ALLEGHENY ENERGY SUPPLY/SPRINGDALE,1622551.13,AEP - Air Emission Plant,40.544167,-79.767222
UNIV OF PGH APPLIED RESEARCH CTR,1,UNIV OF PGH APPLIED RESEARCH CTR/UPARC,11220.7566,AEP - Air Emission Plant,40.544722,-79.828611
INTER POWER AHLCON PARTNERS LP,1,INTER POWER AHLCON LP/COLVER POWER PROJ,1094915.23,AEP - Air Emission Plant,40.549111,-78.815973
ARCONIC INC,1,ARCONIC TECHNOLOGY CENTER/UPPER BURREL,14277.2064,AEP - Air Emission Plant,40.554837,-79.65475
REDLAND BRICK INC,1,REDLAND BRICK INC/HARMAR PLT,8074.99,AEP - Air Emission Plant,40.556502,-79.840242
KINDER MORGAN TRANSMIX CO LLC,1,KINDER MORGAN TRANSMIX/INDIANOLA PLT,25.021,AEP - Air Emission Plant,40.571774,-79.862776
HUSSEY COPPER LTD,1,LIBERTAS COPPER LLC/LEETSDALE,26554.8852,AEP - Air Emission Plant,40.573333,-80.222778
PASSAVANT HOSP,1,UPMC PASSAVANT HOSP/MCCANDLESS,8803.1162,AEP - Air Emission Plant,40.573611,-80.012222
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO LLC/ROARING RUN STA,2205.6699,AEP - Air Emission Plant,40.576001,-79.500625
CREPS UNITED PUBLICATIONS,1,CREPS UNITED PUBLICATIONS/WINDY RIDGE IND PARK,2371.763,AEP - Air Emission Plant,40.588889,-79.201944
ATI FLAT ROLLED PROD HOLDINGS LLC,1,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC/VANDERGRIFT,52107.067,AEP - Air Emission Plant,40.605324,-79.57319
ALLEGHENY LUDLUM LLC,1,"ATI FLAT ROLLED PRODUCTS HOLDINGS, LLC/BRACKENRIDGE",137983.3834,AEP - Air Emission Plant,40.60852,-79.72701
PA STATE SYS OF HIGHER ED INDIANA UNIV,1,PA STATE SYS OF HIGHER ED/INDIANA UNIV,26237.371,AEP - Air Emission Plant,40.616798,-79.157492
SPECIALTY TIRES OF AMER INC,1,SPECIALTY TIRES AMER/INDIANA PLT,10288.384,AEP - Air Emission Plant,40.617549,-79.170711
HANOVER WIRE CLOTH DIV OF CCX INC,1,CCX INC/BRAEBURN ALLOY STEEL,10176.515,AEP - Air Emission Plant,40.618056,-79.7125
ENERGY HARBOR GENERATION LLC,1,ENERGY HARBOR GENERATION LLC/BEAVER VLY,602.4386,AEP - Air Emission Plant,40.623,-80.432
NGC IND LLC,1,NGC INDUSTRIES/SHIPPINGPORT,82646.766,AEP - Air Emission Plant,40.624998,-80.416663
US GYPSUM CO,1,US GYPSUM CO/ALIQUIPPA,52606.2,AEP - Air Emission Plant,40.6278,-80.2389
WHEMCO STEEL CASTINGS INC,1,WHEMCO/MIDLAND,6996.02,AEP - Air Emission Plant,40.630885,-80.444848
MPLX TERMINALS LLC,1,MPLX TERMINALS LLC/MIDLAND TERMINAL,20.6215,AEP - Air Emission Plant,40.63113,-80.439643
ENERGY HARBOR GENERATION LLC,1,ENERGY HBR GENERATION LLC/BRUCE MANSFIELD PLT,3574318.235,AEP - Air Emission Plant,40.634366,-80.419987
ARMSTRONG POWER LLC,1,ARMSTRONG POWER/S BEND,299102.2982,AEP - Air Emission Plant,40.63755,-79.35136
DOMINION ENERGY TRANS INC,2,DOMINION ENERGY TRANS INC/SOUTH BEND STA,11748.3518,AEP - Air Emission Plant,40.63765,-79.35723
ALLEGHENY & TSINGSHAN STAINLESS LLC,1,ALLEGHENY & TSINGSHAN STAINLESS LLC MIDLAND FAC,15897.33,AEP - Air Emission Plant,40.638709,-80.460984
SH BELL CO,1,SH BELL CO/OHIOVILLE,0.34,AEP - Air Emission Plant,40.640278,-80.523333
NOVA CHEM INC,1,NOVA CHEM CO/BEAVER,42513.2414,AEP - Air Emission Plant,40.653847,-80.355945
KEYSTONE CONEMAUGH PROJ LLC,1,KEYSTONE STATION,12682491.15,AEP - Air Emission Plant,40.66022,-79.341772
BASF CORP,1,BASF CORP/MONACA PLT,15082.41,AEP - Air Emission Plant,40.660456,-80.345827
ANCHOR HOCKING LLC,1,ANCHOR HOCKING LLC/MONACA PLT,45077.3963,AEP - Air Emission Plant,40.689892,-80.281395
KAWNEER COMMERCIAL WINDOWS LLC,1,KAWNEER COMMERCIAL WINDOWS LLC/CRANBERRY TWP,6350.6895,AEP - Air Emission Plant,40.703399,-80.112218
CUE INC,1,CUE INC/CRANBERRY TWP PLT,916.6546,AEP - Air Emission Plant,40.709723,-80.102782
PEOPLES NATURAL GAS CO LLC,1,PEOPLES GAS CO LLC/KINTER STA,3379.538,AEP - Air Emission Plant,40.713464,-79.080605
REPAREX FABRICATED SYS,1,RPX COMPOSITES/GREEN TWP,1,AEP - Air Emission Plant,40.716111,-78.8675
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS/CROOKED CREEK COMP STA,1183.5633,AEP - Air Emission Plant,40.717296,-79.53191
NCI BLDG SYS INC,1,NCI BLDG SYS INC/AMBRIDGE,8787.5973,AEP - Air Emission Plant,40.722239,-80.200059
VORTEQ COIL FINISHERS LLC,1,VORTEQ COIL FINISHERS/VALENCIA PLT,11256.8,AEP - Air Emission Plant,40.724489,-79.932552
DOMINION ENERGY TRANS INC,1,DOMINION TRANS INC/CHERRY TREE STA,2100.0795,AEP - Air Emission Plant,40.75455,-78.82825
PENN UNITED TECH INC,1,PENN UNITED TECH/CARBIDE GROUP,199.2886,AEP - Air Emission Plant,40.754786,-79.815385
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO/SHOEMAKER STA,4864.9388,AEP - Air Emission Plant,40.75554,-79.550023
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO/ATWOOD BOOSTER STA,592.1367,AEP - Air Emission Plant,40.757345,-79.269232
LINDY PAVING INC,1,LINDY PAVING INC/ZELIENOPLE PLT,5226.4288,AEP - Air Emission Plant,40.760985,-80.114888
BEAVER FALLS TUBULAR PRODUCTS LLC,1,BEAVER FALLS TUBULAR PRODLLC/BEAVER FALLS PLT,11134.27,AEP - Air Emission Plant,40.781167,-80.332917
THE SHERWIN WILLIAMS MFG CO,1,THE SHERWIN WILLIAMS CO/ROCHESTER PLT,4150.1,AEP - Air Emission Plant,40.78331,-80.266642
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO/VILLAGE STA,782.3098,AEP - Air Emission Plant,40.78497,-79.340805
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO LLC/VALLEY STA,11073.8101,AEP - Air Emission Plant,40.791182,-79.365777
BNZ MATERIALS INC,1,BNZ MATERIALS INC/ZELIENOPLE,660.53,AEP - Air Emission Plant,40.791961,-80.148968
ARMSTRONG CEMENT & SUPPLY CORP,1,ARMSTRONG CEMENT & SUPPLY/WINFIELD,177591.8,AEP - Air Emission Plant,40.794804,-79.700174
SENECA LDFL INC,1,SENECA LANDFILL INC/SENECA,39964.7755,AEP - Air Emission Plant,40.811942,-80.078607
DOMINION ENERGY TRANS INC,1,DOMINION TRANS INC/BEAVER,529.7854,AEP - Air Emission Plant,40.8177,-80.3043
AK STEEL CORP,1,AK STEEL CORP/BUTLER WORKS,338662.69,AEP - Air Emission Plant,40.829262,-79.942733
IPSCO KOPPEL TUBULARS LLC,1,IPSCO KOPPEL TUBULARS LLC/KOPPEL PLT,36662.7605,AEP - Air Emission Plant,40.835606,-80.318371
IPSCO KOPPEL TUBULARS LLC,1,IPSCO KOPPEL TUBULARS LLC/AMBRIDGE,65626.115,AEP - Air Emission Plant,40.835967,-80.318486
LINDY PAVING INC,1,LINDY PAVING INC/KOPPEL FAC,5896.4238,AEP - Air Emission Plant,40.840497,-80.365711
NALCO PROD LLC,1,NALCO PROD LLC/NORTH SOUTH PLT,5323.83,AEP - Air Emission Plant,40.851151,-80.274353
INMETCO LLC,1,INMETCO/ELLWOOD CITY,51034.6676,AEP - Air Emission Plant,40.857691,-80.276263
ELLWOOD CITY FORGE,1,ELLWOOD CITY FORGE/ELLWOOD CITY,22684.5071,AEP - Air Emission Plant,40.860682,-80.293791
EAGLE PRINTING CO,1,EAGLE PRINTING CO/PROD CTR,2.6522,AEP - Air Emission Plant,40.8666,-79.9
