Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
SNYDER BROS INC,1,ELIZABETH WILSON WHITE ESTATE 10M-200,1.51793,GasWell,40.826106,-79.458472
PENNENERGY RESOURCES LLC,1,SHANNON UNIT 1H,688.93248,GasWell,40.826333,-80.049333
BLX INC,1,JOHN REKEN 3,19.74577,GasWell,40.826506,-79.147994
SNYDER BROS INC,1,BVL/MUSHROOM FARM 6-1813,1.51793,GasWell,40.827343,-79.665792
SNYDER BROS INC,1,DONALD R BOWSER ETUX 1M-207,1.51793,GasWell,40.827633,-79.650161
SNYDER BROS INC,1,BVL/MUSHROOM FARM 5-1813,1.51793,GasWell,40.829421,-79.673912
XTO ENERGY INC,1,HINCH SMITH UNIT 10HB,248.7988,GasWell,40.829908,-79.888317
XTO ENERGY INC,1,HINCH SMITH UNIT 9H,141.30574,GasWell,40.829911,-79.888356
XTO ENERGY INC,1,HINCH SMITH UNIT 8H,140.00155,GasWell,40.829922,-79.888389
XTO ENERGY INC,1,HINCH SMITH UNIT 7H,137.43261,GasWell,40.829936,-79.888422
XTO ENERGY INC,1,HINCH SMITH UNIT 6H,215.18182,GasWell,40.829947,-79.888453
XTO ENERGY INC,1,HINCH SMITH UNIT 5H,156.97002,GasWell,40.829958,-79.888486
XTO ENERGY INC,1,HINCH SMITH UNIT 2H,159.1881,GasWell,40.829969,-79.888519
XTO ENERGY INC,1,HINCH SMITH UNIT 3H,141.53793,GasWell,40.829981,-79.888553
XTO ENERGY INC,1,HINCH SMITH UNIT 4H,225.69895,GasWell,40.829992,-79.888586
XTO ENERGY INC,1,HINCH SMITH UNIT 1H,0.00037,GasWell,40.830003,-79.888617
PENNENERGY RESOURCES LLC,1,PAD W9 PER-W09-1H,7614.1776,GasWell,40.830869,-79.672362
XTO ENERGY INC,1,HEASLEYS NURSERIES UNIT 1H,115.00133,GasWell,40.831044,-79.84845
XTO ENERGY INC,1,HEASLEYS NURSERIES UNIT 2H,249.54268,GasWell,40.83105,-79.848486
XTO ENERGY INC,1,HEASLEYS NURSERIES UNIT 4H,213.77629,GasWell,40.831053,-79.848519
SNYDER BROS INC,1,TIMOTHY L CLAYPOOLE ETUX 1M-101,1.51793,GasWell,40.831361,-79.603542
SNYDER BROS INC,1,BVL/MUSHROOM FARM 3-1813,1.51793,GasWell,40.831702,-79.688409
PENNENERGY RESOURCES LLC,1,REEDY D 2,344.44949,GasWell,40.831866,-80.038332
BLX INC,1,D BERGBIGLER 1 84 67,19.90065,GasWell,40.833311,-79.728131
SNYDER BROS INC,1,E STUART CLAYPOOLE ETUX 1-205,1.51793,GasWell,40.833894,-79.640439
SNYDER BROS INC,1,BVL/MUSHROOM FARM 2-1813,1.51793,GasWell,40.833955,-79.683859
SNYDER BROS INC,1,BVL/MUSHROOM FARM 4-1813,1.51793,GasWell,40.833988,-79.673209
PENNENERGY RESOURCES LLC,1,L&L PROPERTIES UNIT 1H,716.01723,GasWell,40.834203,-80.088956
EXCO RESOURCES PA LLC,1,STONIS PAD 1 2H,5.33091,GasWell,40.834508,-79.47485
EXCO RESOURCES PA LLC,1,STONIS PAD 1 3H,5.29498,GasWell,40.834553,-79.474806
